"Location","Lat","Long","Type","One BR Rent"
"Rancho Palos Verdes, CA","33.7444613","-118.3870173","City","3799"
"Edgewater, NJ","40.8270448","-73.97569399999999","City","3708"
"Florham Park, NJ","40.787878","-74.3882072","City","3678"
"Marina del Rey, CA","33.9802893","-118.4517449","City","3678"
"San Mateo, CA","37.5629917","-122.3255254","City","3533"
"Ladera Ranch, CA","33.550735","-117.6411717","City","3059"
"San Ramon, CA","37.7799273","-121.9780153","City","3019"
"Pleasanton, CA","37.6624312","-121.8746789","City","2992"
"Pacifica, CA","37.6138253","-122.4869194","City","2987"
"Fremont, CA","37.5482697","-121.9885719","City","2984"
"Coronado, CA","32.6858853","-117.1830891","City","2916"
"Belmont, CA","37.5202145","-122.2758008","City","2804"
"Redwood City, CA","37.48521520000001","-122.2363548","City","2804"
"South San Francisco, CA","37.654656","-122.4077498","City","2727"
"Novato, CA","38.1074198","-122.5697032","City","2596"
"Antioch, CA","38.0049214","-121.805789","City","2574"
"Pittsburg, CA","38.0279762","-121.8846806","City","2558"
"Palo Alto, CA","37.4418834","-122.1430195","City","2481"
"San Francisco, CA","37.7749295","-122.4194155","City","2471"
"Walnut Creek, CA","37.9100783","-122.0651819","City","2461"
"Emeryville, CA","37.831316","-122.2852473","City","2408"
"Sunnyvale, CA","37.36883","-122.0363496","City","2338"
"San Clemente, CA","33.4273521","-117.6126004","City","2303"
"Santa Clara, CA","37.3541079","-121.9552356","City","2238"
"Hoboken, NJ","40.7439905","-74.0323626","City","2215"
"Hayward, CA","37.6688205","-122.0807964","City","2181"
"Coram, NY","40.8687096","-73.0014946","City","2161"
"Mountain View, CA","37.3860517","-122.0838511","City","2156"
"Bethesda, MD","38.984652","-77.0947092","City","2126"
"Richmond, CA","37.9357576","-122.3477486","City","2125"
"New York, NY","40.7127753","-74.0059728","City","2114"
"San Jose, CA","37.3382082","-121.8863286","City","2111"
"Bowie, MD","39.0067768","-76.77913649999999","City","2103"
"Irvine, CA","33.6845673","-117.8265049","City","2087"
"Placentia, CA","33.8710729","-117.8627548","City","2085"
"Thousand Oaks, CA","34.1705609","-118.8375937","City","2080"
"Santa Clarita, CA","34.3916641","-118.542586","City","2064"
"Los Gatos, CA","37.2358078","-121.9623751","City","2047"
"Hermosa Beach, CA","33.8622366","-118.3995194","City","2008"
"Herndon, VA","38.9695545","-77.3860976","City","1989"
"Simi Valley, CA","34.2694474","-118.781482","City","1974"
"Tustin, CA","33.7420005","-117.8236391","City","1929"
"Campbell, CA","37.2871651","-121.9499568","City","1928"
"Burlington, MA","42.5047161","-71.1956205","City","1916"
"Pembroke Pines, FL","26.007765","-80.2962555","City","1905"
"Bellevue, WA","47.6101497","-122.2015159","City","1900"
"La Mirada, CA","33.9172357","-118.0120086","City","1892"
"Carlsbad, CA","33.1580933","-117.3505939","City","1884"
"Gilroy, CA","37.0057816","-121.5682751","City","1882"
"San Dimas, CA","34.1066756","-117.8067257","City","1872"
"Fountain Valley, CA","33.7090212","-117.9544069","City","1869"
"Odenton, MD","39.0839981","-76.7002462","City","1862"
"Santa Cruz, CA","36.9741171","-122.0307963","City","1832"
"Costa Mesa, CA","33.6412156","-117.9188221","City","1826"
"Cambridge, MA","42.3736158","-71.10973349999999","City","1821"
"Flower Mound, TX","33.0145673","-97.0969552","City","1819"
"Arlington, VA","38.8816208","-77.09098089999999","City","1802"
"West Covina, CA","34.0686208","-117.9389526","City","1799"
"Orange, CA","33.7879139","-117.8531007","City","1788"
"Corona, CA","33.8752935","-117.5664384","City","1779"
"Camarillo, CA","34.2163937","-119.0376023","City","1775"
"Rockville, MD","39.0839973","-77.1527578","City","1773"
"Oceanside, CA","33.1958696","-117.3794834","City","1771"
"Danvers, MA","42.5750009","-70.93212199999999","City","1747"
"Waldorf, MD","38.6265124","-76.9105483","City","1742"
"Nesconset, NY","40.8520426","-73.1540004","City","1730"
"Germantown, MD","39.1731621","-77.2716502","City","1706"
"Boston, MA","42.3600825","-71.0588801","City","1705"
"Somerville, MA","42.3875968","-71.0994968","City","1695"
"Centreville, VA","38.8403909","-77.42887689999999","City","1687"
"Salinas, CA","36.6777372","-121.6555013","City","1687"
"Kenmore, WA","47.7583576","-122.2496863","City","1676"
"Renton, WA","47.4796927","-122.2079218","City","1674"
"Anaheim, CA","33.8365932","-117.9143012","City","1659"
"Lynnfield, MA","42.53869","-71.0465638","City","1649"
"Long Branch, NJ","40.30427780000001","-73.9923596","City","1648"
"Reston, VA","38.9586307","-77.35700279999999","City","1642"
"Suwanee, GA","34.0514898","-84.0712997","City","1641"
"Chula Vista, CA","32.6400541","-117.0841955","City","1639"
"Garden Grove, CA","33.7742692","-117.9379952","City","1635"
"Pasadena, MD","39.1073317","-76.57107529999999","City","1635"
"Pasadena, CA","34.1477849","-118.1445155","City","1624"
"Alpine, CA","32.8350521","-116.7664109","City","1620"
"Romeoville, IL","41.6475306","-88.0895061","City","1615"
"Alexandria, VA","38.8048355","-77.0469214","City","1612"
"Torrance, CA","33.8358492","-118.3406288","City","1612"
"Jersey City, NJ","40.7177545","-74.0431435","City","1601"
"Norwalk, CA","33.9022367","-118.081733","City","1591"
"Montgomery Village, MD","39.172728","-77.20360409999999","City","1583"
"Lone Tree, CO","39.536482","-104.8970678","City","1581"
"Manassas, VA","38.7509488","-77.47526669999999","City","1571"
"Downey, CA","33.9401088","-118.1331593","City","1569"
"Gaithersburg, MD","39.1434406","-77.2013705","City","1569"
"San Diego, CA","32.715738","-117.1610838","City","1564"
"Chino Hills, CA","33.9898188","-117.7325848","City","1563"
"Lynnwood, WA","47.8209301","-122.3151314","City","1563"
"Puyallup, WA","47.1853785","-122.2928974","City","1559"
"Fullerton, CA","33.8703645","-117.9242123","City","1558"
"Englewood, NJ","40.8928771","-73.9726381","City","1556"
"Columbia, MD","39.2037144","-76.86104619999999","City","1554"
"Elkridge, MD","39.1978788","-76.7625073","City","1544"
"Suisun City, CA","38.2382474","-122.040244","City","1543"
"College Park, MD","38.9896967","-76.93776","City","1539"
"Silver Spring, MD","38.99066570000001","-77.026088","City","1539"
"Rohnert Park, CA","38.3396367","-122.7010984","City","1537"
"Fairview, OR","45.5425469","-122.4333089","City","1530"
"Framingham, MA","42.279286","-71.4161565","City","1529"
"San Marcos, CA","33.1433723","-117.1661449","City","1526"
"Stamford, CT","41.0534302","-73.5387341","City","1519"
"Quincy, MA","42.2528772","-71.0022705","City","1516"
"Rowland Heights, CA","33.9761238","-117.9053395","City","1516"
"Beaverton, OR","45.4887993","-122.8013332","City","1513"
"Wellington, FL","26.6617635","-80.2683571","City","1509"
"Thornton, CO","39.8680412","-104.9719243","City","1503"
"Littleton, CO","39.613321","-105.0166498","City","1495"
"Longboat Key, FL","27.4125417","-82.6589881","City","1492"
"Gladstone, OR","45.3842943","-122.5973104","City","1489"
"District of Columbia","38.9071923","-77.0368707","State","1484"
"Naperville, IL","41.7508391","-88.1535352","City","1483"
"Bay Shore, NY","40.7250986","-73.2453946","City","1480"
"Lakewood, NJ","40.08212899999999","-74.2097014","City","1471"
"Boca Raton, FL","26.3683064","-80.1289321","City","1468"
"Kent, WA","47.3809335","-122.2348432","City","1468"
"Duarte, CA","34.1394513","-117.9772873","City","1461"
"Paramount, CA","33.8894598","-118.1597911","City","1459"
"Santa Ana, CA","33.7454725","-117.867653","City","1453"
"Fredericksburg, VA","38.3031837","-77.4605399","City","1452"
"Palmdale, CA","34.5794343","-118.1164613","City","1450"
"Malden, MA","42.4250964","-71.066163","City","1442"
"Hackensack, NJ","40.8859325","-74.0434736","City","1438"
"California","36.778261","-119.4179324","State","1437"
"Eden Prairie, MN","44.8546856","-93.47078599999999","City","1436"
"Monterey, CA","36.6002378","-121.8946761","City","1436"
"Rancho Cucamonga, CA","34.10639889999999","-117.5931084","City","1434"
"La Mesa, CA","32.7678287","-117.0230839","City","1432"
"Vista, CA","33.2000368","-117.2425355","City","1430"
"Brighton, CO","39.9852617","-104.8205283","City","1429"
"Lawrence, MA","42.7070354","-71.1631137","City","1426"
"Escondido, CA","33.1192068","-117.086421","City","1424"
"Parker, CO","39.5186002","-104.7613633","City","1418"
"Wildomar, CA","33.5989126","-117.2800372","City","1418"
"Vancouver, WA","45.6272259","-122.6727305","City","1405"
"Federal Way, WA","47.3223221","-122.3126222","City","1404"
"Greenbelt, MD","39.0045544","-76.87552819999999","City","1403"
"Schaumburg, IL","42.0333607","-88.0834059","City","1403"
"Murrieta, CA","33.5539143","-117.2139232","City","1402"
"Glendale, CA","34.1425078","-118.255075","City","1395"
"Keller, TX","32.9341893","-97.229298","City","1394"
"Salem, MA","42.51954","-70.8967155","City","1388"
"Moreno Valley, CA","33.9424658","-117.2296717","City","1383"
"Broomfield, CO","39.9205411","-105.0866504","City","1381"
"Long Beach, CA","33.7700504","-118.1937395","City","1377"
"Palm Beach Gardens, FL","26.8233946","-80.13865469999999","City","1376"
"Laurel, MD","39.0992752","-76.8483061","City","1374"
"Davis, CA","38.5449065","-121.7405167","City","1369"
"Los Angeles, CA","34.0522342","-118.2436849","City","1364"
"Buffalo Grove, IL","42.1662831","-87.9631308","City","1363"
"Lombard, IL","41.8800296","-88.00784349999999","City","1362"
"Auburn, WA","47.30732279999999","-122.2284532","City","1360"
"Bellflower, CA","33.8816818","-118.1170117","City","1353"
"Everett, WA","47.9789848","-122.2020795","City","1352"
"Frederick, MD","39.41426879999999","-77.4105409","City","1348"
"Vernon Hills, IL","42.23933230000001","-87.9653565","City","1348"
"Suitland, MD","38.8485264","-76.9240422","City","1347"
"Washington, DC","38.9071923","-77.0368707","City","1345"
"Cedar Park, TX","30.505198","-97.8202888","City","1343"
"Lake Mary, FL","28.7588833","-81.3178446","City","1338"
"Mount Pleasant, SC","32.8323225","-79.82842579999999","City","1335"
"Seattle, WA","47.6062095","-122.3320708","City","1335"
"Benicia, CA","38.049365","-122.1585777","City","1333"
"Menifee, CA","33.6971468","-117.185294","City","1332"
"Levittown, PA","40.1551096","-74.8287747","City","1331"
"Severn, MD","39.1370528","-76.6983022","City","1330"
"Fairfield, CA","38.24935809999999","-122.0399663","City","1328"
"Marysville, WA","48.0517637","-122.1770818","City","1323"
"West Chester, PA","39.9606643","-75.6054882","City","1323"
"Hyattsville, MD","38.9559442","-76.9455301","City","1315"
"Castle Rock, CO","39.3722121","-104.8560902","City","1314"
"Grayson, GA","33.8942729","-83.95573999999999","City","1313"
"Evanston, IL","42.0450722","-87.68769689999999","City","1311"
"Spanaway, WA","47.103988","-122.4345661","City","1311"
"Bolingbrook, IL","41.69864159999999","-88.0683955","City","1309"
"Rahway, NJ","40.60815909999999","-74.2776468","City","1309"
"White Marsh, MD","39.3794196","-76.45990429999999","City","1309"
